ブロマイド	溴化物
固定移籍ヤンデレ	固定转会病娇
ヤンデレ移籍ルートが進行している。	进行病娇抚子移籍支线中。
嫁イドGP受賞イベント	女儿节GP获奖活动
嫁イドGPの授賞式を執り行います。	举行媳妇儿节GP的颁奖仪式。
嫁イドGPにて受賞している。	在媳妇儿GP中获奖。
母性的なお姉ちゃんメイドを大切な恋人として迎え入れます。	作为重要的恋人迎接母性的姐姐女仆。
シナリオフラグ:移籍お姉ちゃん未確定	剧本标志：移籍姐姐未确定
メイドフラグ:移籍してきたお姉ちゃん	女仆标志：转会过来的姐姐
移籍お姉ちゃん	转会姐姐
『母性的なお姉ちゃん』性格の移籍されたメイドである。	已有『母性姊姊』性格的移籍女仆。
固定移籍お姉ちゃん	固定转会姐姐
お姉ちゃん移籍ルートが進行している。	进行大姊姊移籍支线中。
高級レストランを建設している。	已建设高级餐厅。
シナリオフラグ:シーン鑑賞_メイン_フラグ_89	方案标志：场景欣赏主标志89
シナリオフラグ:さな雇用	方案标志：さな雇佣
シナリオフラグ:シーン鑑賞_メイン_フラグ_90	方案标志：场景观看主标志90
シナリオフラグ:移籍メイン選択完了＿ヤンデレ	剧本标志：转会主选择完成_病娇
病的な程一途な大和撫子メイドを大切な恋人として迎え入れている。	已将专一温柔贤慧的病娇作为重要恋人迎入俱乐部。
好感度が30以上。	好感度在30以上。
純真性格のメイドとの関係が信頼になります。	与纯真妹妹的关系将进展为信赖。
純真性格のメイドとの関係が恋人になります。	与纯真妹妹的关系将进展为恋人。
進展：甘えてもいいの？	进展：我来撒娇也可以吗？
お姉ちゃん性格のメイドとの関係が信頼になります。	与母性姊姊的关系将进展为信赖。
告白：ダメになっちゃえ♪	告白：尽管变废吧♪
お姉ちゃん性格のメイドとの関係が恋人になります。	与母性姊姊的关系将进展为恋人。
ヤンデレ新規→移籍	病娇新→移籍
新規雇用されたヒロインタイプ『病的な程一途な大和撫子』のメイドを移籍メイドに変更する。	新雇佣的女主人公类型『专一温柔贤慧的病娇』的女仆变更为移籍女仆。
メイドフラグ:新規雇用旧性格メイド	女仆标志：新雇佣旧性格女仆
新規雇用されたヒロインタイプ『病的な程一途な大和撫子』のメイドである。	她是新雇佣的女主角类型『专一温柔贤慧的病娇』的女仆。
お姉ちゃん新規→移籍	姐姐新→移籍
新規雇用されたヒロインタイプ『母性的なお姉ちゃん』性格のメイドを移籍メイドに変更する。	新雇佣的女主角类型“母性姐姐”性格的女仆变更为移籍女仆。
新規雇用されたヒロインタイプ『母性的なお姉ちゃん』のメイドである。	她是新雇佣的女主角类型“母性姐姐”的女仆。
新規雇用されたヒロインタイプ『健康的でスポーティなボクっ娘』性格のメイドを移籍メイドに変更する。	新雇佣的女主角类型“男孩般的阳光的新娘”性格的女仆变更为移籍女仆。
移籍ボクっ娘	转会的女儿
新規雇用されたヒロインタイプ『健康的でスポーティなボクっ娘』のメイドである。	她是新雇佣的女主角类型“男孩般的阳光的新娘”的女仆。
新規雇用されたヒロインタイプ『Ｍ心を刺激するドＳ女王様』性格のメイドを移籍メイドに変更する。	新雇佣的女主角类型“刺激M心的抖S女王大人”性格的女仆变更为移籍女仆。
移籍ドＳ	转会抖S
新規雇用されたヒロインタイプ『Ｍ心を刺激するドＳ女王様』のメイドである。	她是新雇佣的女主角类型“刺激M心的抖S女王”的女仆。
シーカフェが建設されている。	已建设海滩咖啡。
シーカフェルートが進行している。	进行海滩咖啡支线中。
シーカフェの経営が順調か、ご主人様がチェックを行います。	海之家的经营是否顺利进行──主人将就此点作出评定。
シナリオフラグ:シーカフェ前半全員クリア	方案标志：前半部分全部清除
シナリオフラグ:シーカフェ後半全員クリア	方案标志：西卡菲后半全部清除
シナリオフラグ:シーン鑑賞_メイン_フラグ_28	方案标志：场景观看主标志28
『アイドルルート前半VSライブ』でのVSライブに勝利する。	于『偶像路线前半部VS LIVE』胜出。
真面目単独VSライブルートが進行している。	进行班长单独VS LIVE路线中。
バーラウンジ|高級バーラウンジ	酒吧休息室|高级酒吧休息室
バーが建設されている。	已建设酒廊。
『mainly priority』にもう一度挑戦します。	再度挑战『mainly priority』。
シナリオフラグ:予約特典VSライブ選択シナリオ行き	剧本标志：预约特典VS现场选择剧本
好感度が5以上。	好感度在5以上。
好感度が10以上。	好感度在10以上。
無口で甘えたがりな	不爱说话爱撒娇的人
文学少女メイドを	文学少女
無口で甘えたがりな文学少女メイドを集中して育てるメイドに決めます。	决定集中培育沉默寡言爱撒娇的文学少女女仆。
シナリオフラグ:文学少女未確定	剧本标志：文学少女未确定
固定文学少女	文学少女。
文学少女タイプのメインルートが進行している。	进行文学少女主线中。
エンパイアクラブに１人の男が現れる。その男は、文学少女と出会うのであった。	帝国俱乐部出现了一名不速之客。这个男人，与文学少女相遇了……
シナリオフラグ:シーン鑑賞_メイン_フラグ_1	方案标志：场景观看主标志1
アイドル活動を開始している。	已开始偶像活动。
淳平は文学少女にはご主人様という大切な恋人がいる事に気付く。	淳平注意到了，文学少女有名她称其为主人的重要恋人。
文学少女タイプのNTRルートが進行している。	进行文学少女NTR路线中。
淳平は諦めきれず、文学少女にアプローチをかけ続ける。	不死心的淳平，一再追求著文学少女。
ショッピングモールでデートを行う２人。	两人前往购物中心约会。
ご主人様から、一枚の写真を見せられる文学少女。	文学少女从主人手上接过了一张照片。
Ｍ心を刺激する	刺激心灵
ドＳ女王様メイドを	女王女仆
Ｍ心を刺激するドＳ女王様メイドを大切な恋人として迎え入れます。	作为重要的恋人迎接刺激M心的抖S女王女仆。
シナリオフラグ:移籍ドＳ未確定	剧本标志：移籍抖S未确定
メイドフラグ:移籍してきたドＳ	女仆标志：移籍的抖S
『Ｍ心を刺激するドＳ女王様』性格の移籍されたメイドである。	已有『女王陛下』性格的移籍女仆。
固定移籍ドＳ	固定转会抖S
ドＳ移籍ルートが進行している。	进行女王陛下移籍支线中。
女王様のドＳ詰り講座	女王的ドS诘り讲座
ピュアピュアな無垢と凜とした凜デレ。ドＳがターゲットに選ぶのは？	纯洁纯洁的无垢和凛然的凛デレ。抖S选择目标是？
ドＳ性格のメイドとの関係が信頼になります。	与女王陛下的关系将进展为信赖。
ドＳ性格のメイドとの関係が恋人になります。	与女王陛下的关系将进展为恋人。
プールが建設されている。	已建设泳池。
シナリオフラグ:プール前半全員クリア	方案标志：前半部分全部清除
プールルートが進行している。	进行泳池支线中。
シナリオフラグ:プール後半全員クリア	方案标志：池后半全员清除
プールの経営が順調か、ご主人様がチェックを行います。	泳池的经营是否顺利进行──主人将就此点作出评定。
『俺の愛しのメイドが容赦無くNTRれてしまうボイスドラマ』の視聴前の実行前をオススメします。	推荐在聆听『我深爱的女仆被无情地NTR广播剧CD』前执行此事件。
IF展開となります。NTRルートの展開に影響がありません。	此为IF路线剧情，并不会影响NTR路线的进展。
またNTRルートの進行に関係無く実行が可能となります。	另外无论您是否曾进行过NTR路线，皆可执行此事件。
『俺の愛しのメイドが容赦無くNTRれてしまうボイスドラマ』の視聴後の実行前をオススメします。	推荐在聆听『我深爱的女仆被无情地NTR广播剧CD』后执行此事件。
神社が建設されている。	已建设神社。
新ジャンル（？）	新类型（？）
コスプレ神社	cosplay神社
シナリオフラグ:神社前半全員クリア	脚本标志：神社前半全员通关
神社ルートが進行している。	进行神社支线中。
シナリオフラグ:神社後半全員クリア	脚本标志：神社后半全员通关
神社の経営が順調か、ご主人様がチェックを行います。	神社的经营是否顺利进行──主人将就此点作出评定。
天然サディスティックな	天然保护
小悪魔メイドを	小恶魔女仆
天然サディスティックな小悪魔メイドを集中して育てるメイドに決めます。	决定集中培育天然的小恶魔女仆。
シナリオフラグ:小悪魔未確定	脚本标志：小恶魔未确定
固定小悪魔	固定小恶魔
小悪魔タイプのメインルートが進行している。	进行小恶魔主线中。
名刺を整理していた主人公は、ふとその中に「藪脇 洋」という名前を見る。	整理名片的主人公，无意中看到了“薮胁洋”这个名字。
一見するとただの酒屋だったが、主人公はその名前に奇妙な既視感を覚えていた……	乍看之下只是个酒店，主人公却对这个名字有着奇妙的既视感……
鬱屈した感情をエンパイアクラブに対して懐く男が、オーナーである主人公と小悪魔に出会う。	对帝国俱乐部怀恨在心的那个男人，遇见了作为老板的主人跟小恶魔。
小悪魔タイプのNTRルートが進行している。	进行小恶魔NTR路线中。
主人公と小悪魔の身辺調査を行い、洋はあることを決意する。	对主人跟小恶魔的周遭调查一番后，洋下定了某个决心。
そう簡単には小悪魔を奪えないと思った洋は、ある人物に交渉を持ちかける。	自觉要将小恶魔骗到手并没那么容易的洋，跟某个人物进行了交涉。
計画を立て、裏で手を回し、間接的に主人公と小悪魔を引き剥がそうとする洋。	洋立定计划、暗中操盘，间接地慢慢将主人跟小恶魔拆散。
忙しくしている小悪魔を手伝う洋。しかし、それは次の段階への布石。	洋对忙得不可开交的小恶魔伸出了援手。然而，这仅仅是他为了进入下个阶段的布局。
エンパイアクラブの内部に取り入る洋は、急激に小悪魔へ接近する。	深入帝国俱乐部内部的洋，急遽地接近了小恶魔。
健康的でスポーティなボクっ娘メイドを大切な恋人として迎え入れます。	作为重要的恋人迎接男孩般的阳光少女女仆。
シナリオフラグ:移籍ボクっ娘未確定	剧本标志：转会我女儿未确定
メイドフラグ:移籍してきたボクっ娘	女仆标志：移籍过来的新娘
『健康的でスポーティなボクっ娘』性格の移籍されたメイドである。	已有『阳光少女』性格的移籍女仆。
固定移籍ボクっ娘	固定转会的我女儿
ボクっ娘移籍ルートが進行している。	进行阳光少女移籍支线中。
ボクっ娘性格のメイドとの関係が信頼になります。クラブ内を歩くご主人様が出会ったのは、さまよう厚化粧の女の子だった。	与阳光少女的关系将进展为信赖。正当主人走在俱乐部里时，迎面而来的是个大浓妆的女孩子。
ボクっ娘性格のメイドとの関係が恋人になります。素直な子の、素直になれない一面。	与阳光少女的关系将进展为恋人。坦率大方的女孩、也有着她无法坦率的一面。
GP01チュートリアル	GP01导览
GP01で追加される新機能についてのチュートリアル。GP01インストール後、開始を推奨します。	GP01追加的新机能导览。推荐您在安装GP01后便执行。
GP01をインストールしている。	已安装GP01。
経営方針の変更を行います。	经营方针将进行变更。
シナリオフラグ:NTRブロックON	方案标志：NTR模块ON
ダンスショー	舞蹈表演
開催告知変更	举办通知变更
ダンスショー開催告知の表示変更を行います。	可变更舞台表演举办通知。
ゲレンデが建設されている。	已建设滑雪山庄。
シナリオフラグ:ゲレンデ前半全員クリア	场景标志：滑雪场前半全员通关
ゲレンデルートが進行している。	进行滑雪山庄支线中。
シナリオフラグ:ゲレンデ後半全員クリア	场景标志：滑雪场后半全员通关
ゲレンデ満喫チェック～前編～	滑雪山庄游憩评定～前篇～
メイド達がゲレンデでの休暇を満喫しているか、ご主人様がチェックを行います。	大家是否有好好享受滑雪山庄之旅──让主人好好看一看吧。
ゲレンデ満喫チェック～後編～	滑雪山庄游憩评定～后篇～
恋・愛・完・勝・テクニック	恋爱・爱・完成・胜利・技术
～焦らして、落とせ～	～别着急，滚下去～
おしとやかで色気のある	温文尔雅
お姉さんメイドを	姐姐女仆
おしとやかで色気のあるお姉さんメイドを集中して育てるメイドに決めます。	决定集中培养文静有魅力的姐姐女仆。
シナリオフラグ:おしとやか未確定	方案标志：未确定
固定おしとやか	固定稳静
おしとやかタイプのメインルートが進行している。	进行色气淑女主线中。
夜の大人会in	夜晚的大人会in
エンパイアクラブ	帝国俱乐部
シナリオフラグ:移籍メイン選択完了＿お姉ちゃん	剧本标志：转会主选择完成姐姐
プライドが高く負けず嫌いなメイドを３人グループに加入させている	已让傲娇女孩加入三人组合
母性的なお姉ちゃんメイドを大切な恋人として迎え入れている。	已将母性姊姊作为重要恋人迎入俱乐部。
金剛寺ケイ	金刚寺啓
金剛寺ケイという男がおしとやかに近づく。ご主人様の恋人だと知っても、それは止まる事が無いのであった。	名叫金刚寺啓的男人开始接近了淑女。哪怕知道对方是主人的恋人，也没有一丝打退堂鼓的打算。
ケイのアプローチ	啓的追求攻势
ケイは裏から手を回し、ご主人様とおしとやかとの時間を減らす。ケイも酒の力を借りて徐々に距離を詰めていく	啓暗中操弄、剥夺着主人与淑女的独处时间。而啓藉着酒力，慢慢步步进逼……
おしとやかタイプのNTRルートが進行している。	进行色气淑女NTR路线中。
オトコのカラダ	男人的体魄
ケイのたくましい体つきに、次第におしとやかも意識し始めて……	淑女一步步地意识到、啓那雄壮威猛的体魄……
恋人以外の甘い蜜	恋人以外的甘蜜
おしとやかはケイを思い浮かべながらオナニーをしてしまう……	一想起啓那身体，淑女不禁自慰了起来……
わたしが一番ほしいモノ	我最想要的东西
おしとやかはもう、ケイとのセックスに夢中になってしまう。おしとやかが選ぶ道は……	在跟啓上过床后，淑女已然深陷其中不可自拔。最终淑女所选择的道路是……
メイドフラグ:NTRケイ＿幕間２	女仆标志：NTR蛋糕幕间2
冒険者の酒場が建設されている。	已建设冒险者酒场。
シナリオフラグ:冒険者の酒場前半全員クリア	场景标志：冒险者的酒馆前半全员通关
冒険者の酒場ルートが進行している。	进行冒险者酒场支线中。
シナリオフラグ:冒険者の酒場後半全員クリア	场景标志：冒险者的酒馆后半全员通关
冒険者の酒場の経営が順調か、ご主人様がチェックを行います。	冒险者酒场的经营是否顺利进行──主人将就此点作出评定。
１号店×２号店	1号店×2号店
カップリング談義	联轴器谈话
純真単独VSライブルートが進行している。	进行纯真单独VS LIVE路线中。
『1st only you』VSライブにもう一度挑戦します。	再度挑战『1st only you』。
シナリオフラグ:純真専用VSライブ選択シナリオ行き	剧本标志：纯真专用VS现场选择剧本
頼れるメイド秘書を	有可靠的女仆秘书
大人の余裕を持つ、頼れるメイド秘書を集中して育てるメイドに決めます。	决定集中培养有大人余裕、值得信赖的女仆秘书的女仆。
シナリオフラグ:メイド秘書未確定	脚本标志：女仆秘书未确定
固定メイド秘書	固定女仆秘书
メイド秘書タイプのメインルートが進行している。	进行秘书女仆主线中。
悪のカリスマ、宮部浩二	邪恶干部、宫部浩二
その男の名は宮部浩二。ご主人様とは比較にならないぐらいの圧倒的な権力と能力を持つ。	那个男人的名字是宫部浩二。拥有和主人无法相比的压倒性的权力和能力。
そんな浩二に目をつけられたメイド秘書は為す術もなく闇に導かれる。	被浩二盯上的女仆秘书毫无办法地被引导到黑暗中。
秘密のオークション	秘密拍卖会
メイド秘書はいやらしい男達の視線に晒されたまま、オークションにかけられる。	女仆秘书暴露在令人讨厌的男人们的视线里，被拍卖。
※衣装の指定は自由となります。いやらしい衣装を推奨します。	※服装的指定是自由的。推荐下流的服装。
メイド秘書タイプのNTRルートが進行している。	进行秘书女仆NTR路线中。
最悪のニアミス	黄鼠狼给鸡拜年
何も知らないご主人様と浩二が、メイド秘書の前で話し合う。気が気でないメイド秘書。	找上了浑然不觉的主人，浩二当着秘书的面与他攀谈了起来。这让秘书不由得如坐针毡──
メイドフラグ:NTR浩二＿幕間３	女仆标志：NTR浩二幕间3
届かない手	无能为力
ご主人様はメイド秘書を心配するも、それは――	就算主人再怎么担心秘书，那也已经──
メイドフラグ:NTR浩二＿幕間４	女仆标志：NTR浩二幕间4
チェックメイト	将军
メイド秘書は浩二との行為によって、その快楽を身体に刻まれる。もう逃げ道が無くなったメイド秘書は……？	在浩二一次次的占有之下，那份悦乐已经深深刻进了秘书的肉体中。已无路可逃的秘书将会……？
メイドフラグ:NTR浩二＿幕間５	女仆标志：NTR浩二幕间5
お待たせしました	让妳久等了
一号店で一人奮闘するメイド秘書。そしてそれを迎えに来たのは……	秘书一直在１号店孤军奋战着。而她等待许久的结果是……
シナリオフラグ:旧メイド秘書＿関係進展１	剧本标志：旧女仆秘书关系进展1
NPCキャラ.旧メイド秘書	NPC角色
シナリオフラグ:旧メイド秘書＿関係進展２	剧本标志：旧女仆秘书关系进展2
シナリオフラグ:旧メイド秘書＿関係進展３	剧本标志：旧女仆秘书关系进展3
ネコミミがチャームポイントの、ロリ巨乳メイドが	猫耳是魅力点，萝莉巨乳女仆
『魔法』『猫耳』少女『アイドル』に！？	“魔法”“猫耳”少女“偶像”！？
春の庭園が建設されている。	已建设春樱庭园。
シナリオフラグ:春の庭園前半全員クリア	场景标志：春季庭园前半部分全部清除
春の庭園ルートが進行している。	进行春樱庭园支线中。
シナリオフラグ:春の庭園後半全員クリア	场景标志：春季庭院后半全部清除
春の庭園満喫チェック	春季庭院深度检查
メイド達がお花見を満喫しているか、ご主人様がチェックを行います。	大家是否有好好享受赏花祭典──让主人好好看一看吧。
プレゼントを	送礼物给你
寝不足が落として頭	睡眠不足使头脑清醒。
小動物系ふわふわ妹を	软萌的小动物系妹妹
特に面倒を見ることに決める	决定特别照顾
小動物系ふわふわ妹を特に面倒を見るメイドに決めます。	决定要特别照顾小动物系软萌的妹妹的女仆。
シナリオフラグ:ふわふわ妹未確定	剧本标志：软萌的妹妹未确定
固定ふわふわ妹	软萌的妹妹
ふわふわ妹タイプのメインルートが進行している。	进行软萌妹妹主线中。
来訪者	访客
エンパイアクラブに突如行き倒れの若者が現れる。	一名年轻人来到了帝国俱乐部，然后他就在两人面前倒下了……
蓮夜はエンパイアクラブで順調に信頼を得ていく。	莲夜在帝国俱乐部里，渐渐取得了周遭的信赖。
ふわふわ妹タイプのNTRルートが進行している。	进行软萌妹妹NTR路线中。
蓮くん	莲君
蓮夜は妹と触れ合ううちに、とある感情を抱いてしまい……	在日渐相处之下，莲夜对妹妹产生了某种情愫……
大切な……？	重要的……什么？
蓮夜は妹への気持ちを抑えきれず、ついに想いを告白する。	再也按捺不住这份感情的莲夜，终于向妹妹告白了。
過去の記憶を辿り、警戒状態のイベントを回想に登録します。	追溯过往的记忆、将警戒状态的事件登录于回想模式。
シナリオフラグ:オープニング終了	方案标志：开场结束
オープニングが終了している。	已进行过序章。
【NPC文学少女】	【NPC文学少女】
【NPC文学少女】休暇に田舎にやってきたが、文学少女はそこでもやっぱり本を読んでいて……	【NPC文学少女】都跑到乡下来度假了，但文学少女又果不其然地拿出了书来读……
NPCとしての文学少女専用イベント。	NPC文学少女专用事件。
『変わらない彼女』と同内容になります。	与『到哪儿都不变的她』内容相同。
【NPC文学少女】気づいたら寝ていた文学少女。そして、当然の事ながら蚊に刺されてしまい……	【NPC文学少女】文学少女一不小心就在缘廊睡着了。理所当然地、她全身上下都是被蚊虫叮咬的肿包……
シナリオフラグ:NPC文学少女＿イベント１通過	剧本标志：NPC文学少女活动1通过
『ある意味風物詩』と同内容になります。	与『某种意义上的风情画』内容相同。
【NPC文学少女】ある暑い日、ご主人様を楽しませる為に、用意した様々な衣装を披露して……	【NPC文学少女】在某个炎热的日子里，女仆为了讨主人开心，展示起了各式各样准备许久的服装……
シナリオフラグ:NPC文学少女＿イベント２通過	剧本标志：NPC文学少女活动2通过
『サマータイム・コスプレサービス』と同内容になります。	与『盛夏扮装会』内容相同。
警戒心の強い無愛想を	警惕心强的冷淡
警戒心の強い無愛想を集中して育てるメイドに決めます。	决定集中警戒心强的冷淡培育的女仆。
シナリオフラグ:無愛想未確定	剧本标志：冷淡未确定
固定無愛想	固定冷淡。
無愛想タイプのメインルートが進行している。	冷淡型的主要路线正在进行中。
シナリオフラグ:メイン選択完了＿小悪魔	方案标志：主选择完成小恶魔
集中的に育てることに決めた小悪魔タイプのメイドがいる。	有决定集中培育的小恶魔类型的女仆。
選ばれた彼女	被选中的她
突如来訪したエンパイアクラブの重鎮。嫌な視線のその二人に無愛想が目をつけられ……	突然来访的帝国俱乐部的重要人物。被这两个眼神嫌恶的人冷眼盯上……
つかの間の平和	短暂的和平
なんとか、二人に狙われないように立ち回る無愛想。平和な日が続くが……	不管怎么说，为了不被两个人盯上而四处奔走的冷淡。和平的日子还在继续……
無愛想タイプのNTRルートが進行している。	冷淡型的NTR路线正在进行中。
逃れられない鎖	逃不掉的锁链
あのときの事を忘れようとする無愛想。だが、そんな事を当然男たちは許すわけがなく……	想忘记那时的事情的冷淡。但是，男人们当然不会原谅这种事……
メイドフラグ:NTR康友＿幕間１	女仆标志：NTR康友
変えられた身体	被改变了的身体
犯されてから疼きを抑えられずご主人様でも満足できない無愛想。そしてついに……	被侵犯后无法抑制疼痛，主人也无法满足的冷淡。然后终于……
メイドフラグ:NTR康友＿幕間２	女仆标志：NTR康友
最後の一押し	最后的一击
快楽に負けてしまい、自分から奉仕をする不愛想。そんな彼女に二人は最後の一押しを……	输给快乐，自己服务的不讨人喜欢。对于这样的她，两个人最后一推……
メイドフラグ:NTR康友＿幕間３	女仆标志：NTR康友幕间3
*ミニサロペットブラウス	*迷你罩衫
*カジュアルライダース	*休闲骑士
*ソーサレス	*无索萨
*バトルアーマー	*战斗装甲
関係状態が「警戒」である。	关系状态为『警戒』。
$好感度が(?<feel>[\d])以上。	好感度在${feel}以上。
;好感度が180以上。	好感度在180以上。
;好感度が190以上。	好感度在190以上。
;好感度が200以上。	好感度在200以上。
;好感度が210以上。	好感度在210以上。
;好感度が220以上。	好感度在220以上。
;好感度が230以上。	好感度在230以上。
メイドフラグ:無垢＿飲み0032アフター	女仆标志：无垢饮0032后
メイドフラグ:無垢＿飲み0030アフター	女仆标志：无垢饮0030后
メイドフラグ:真面目＿飲み0030アフター	女仆标志：认真喝酒0030后
メイドフラグ:真面目＿飲み0032アフター	女仆标志：认真喝0032后
メイドフラグ:凜デレ＿飲み0032アフター	女仆标志：凛デレ喝0032后
メイドフラグ:凜デレ＿飲み0030アフター	女仆标志：凛デレ喝酒0030后
Night Magic Fireを英語で歌う事に対し、苦戦する３人。それでも想いを届けたくて……	对于用英语演唱Night Magic Fire，3人陷入苦战。尽管如此还是想把想法传达给你……
Night Magic Fireルートが進行している。	Night Magic Fire路线正在进行。
『Night Magic Fire Eng Ver.』VSライブにもう一度挑戦します。	再次挑战《Night Magic Fire Eng Ver.》VS演唱会。
シナリオフラグ:英語版NMFVSライブ選択シナリオ行き	剧本标志：英语版NMFVS现场选择剧本
心まで奪われて	连心都被夺走
送られてきた動画を見るご主人様。その動画には、誠司とメイドの２人が映っていて……	看发送来的视频的主人。在视频中，诚司和女仆两人出现了……
メイドフラグ:GP02寝取らせEXシナリオ解放	女仆标志：GP 02解梦EX剧本
メイドと誠司が親密になっている。	女仆和诚司变得亲密了。
関係状態が「恋人+」である。	关系状态是“恋人+”。
好感度が250以上。	好感度在250以上。
いつもと変わらない文学少女に対し、ご主人様は気持ちを伝えようとして……	对于和往常一样的文学少女，主人想要表达自己的心情……
『幸せにできるかな？』という問いかけに今でも幸せだという妹は……	“能幸福吗？”对于这个问题，至今仍然觉得幸福的妹妹……
彼女のドレスは？	她的礼服呢？
結婚式の準備ということで緊張しながらも、ご主人様はエマと一緒に自分の花嫁のための衣装を選ぶことになり……	虽然因为准备结婚典礼很紧张，但是主人还是和艾玛一起为自己的新娘选择了服装……
メイドフラグ:GP02＿プロポーズ済	女仆标志：GP 02求婚完毕
メイドにプロポーズをしている。	正在向女仆求婚。
メイド秘書との打ち合わせを済ませている。	我和女仆秘书商量好了。
結婚式を執り行っている。	举行婚礼
エンパイアトーナメント『敗者復活戦』再戦	裁判员淘汰赛“败者复活战”再战
エンパイアトーナメント『敗者復活戦』VSライブにもう一度挑戦します。	再次挑战裁判员淘汰赛《败者复活战》VS演唱会。
シナリオフラグ:ET第一試合VSライブ選択シナリオ行き	场景标志：ET第一场比赛VS现场选择剧本
GP02アイドルルートが進行している。	GP 02偶像路线正在进行。
エンパイアトーナメント『本戦』再戦	帝国淘汰赛“本战”再战
エンパイアトーナメント『本戦』VSライブにもう一度挑戦します。	再次挑战帝国淘汰赛“本战”VS演唱会。
シナリオフラグ:ET第二試合VSライブ選択シナリオ行き	场景标志：ET第二场比赛VS现场选择剧本
エンパイアトーナメント『準決勝』再戦	裁判员淘汰赛“半决赛”再战
エンパイアトーナメント『準決勝』VSライブにもう一度挑戦します。	再次挑战帝国淘汰赛“半决赛”VS演唱会。
シナリオフラグ:ET第三試合VSライブ選択シナリオ行き	场景标志：ET第三场比赛VS现场选择剧本
電気外2019夏	电外2019夏
おまけボイスコンテンツ	附加语音内容
【外伝】電気外祭から帰ってきたご主人様。ご主人様の元に、何やら怪しいメールが届いていて……？	【外传】从电器外祭回来的主人。主人那里收到了什么奇怪的邮件……？
電気外祭り2019夏アイテムセットをインストールしている。	安装了电器外祭2019夏季道具套装。
メイドと結婚している。	和女仆结婚了。
メイドフラグ:PMDモード進行フラグ１	女仆标志：PMD模式进行标志1
黒澄玄徳の提案を受け入れている。	接受了黑澄玄德的提案。
メイドフラグ:PMDモード進行フラグ２	女仆标志：PMD模式进行标志2
咲羽の誘惑を受け入れている。	接受了咲羽的诱惑。
困ったときの甘いもの	困难时的甜食
似たもの同士の誓い	相似之物之间的誓言
メイドフラグ:純真＿飲み0030アフター	女仆标志：纯真喝酒0030后
純真タイプのメイドとデートの約束をしている。	和纯真型的女仆约好了约会。
メイドフラグ:純真＿飲み0032アフター	女仆标志：纯真喝酒0032后
*エレガントリリス	*优雅莉莉
*インファイター	*内部战士
*ヨーロピアンクラシカル	*欧洲古典音乐
*エレガントゴシック	*优雅哥特式
本当のノブレスオブリージュ	真正的无袖连衣裙
高飛車で生意気な	妄自尊大
お嬢様メイドを	大小姐女仆
高飛車で生意気なお嬢様メイドを集中して育てるメイドに決めます。	决定集中培育高飞车自大的大小姐女仆的女仆。
シナリオフラグ:お嬢様未確定	剧本标志：大小姐未确定
固定お嬢様	固定大小姐
お嬢様タイプのメインルートが進行している。	正在进行大小姐类型的主要路线。
プライドが高く負けず嫌いなメイドを３人グループに加入させている。	自尊心很强的傲娇女仆加入3人组。
賭けとイカサマ	赌注和伊卡萨斯
エンパイアクラブのカジノで働くメイド。ある日、イカサマをしているお客を見つけることになる。正義感の強い彼女は、イカサマ客との勝負で懲らしめようとするが……	在裁判员俱乐部的赌场工作的女仆。有一天，他发现了一位做着蛤蟆的客人。正义感强的她，想用和伊莎莎客人的胜负来惩罚她……
経験あり|両方経験あり	有经验|两方面都有经验
檻にかかった獲物	笼子里的猎物
敗北したメイドは、イカサマ客と共にとある場所に行く。それはイカサマ客の知り合いが経営する裏カジノだった。イカサマ客の所属する裏カジノで勝負を挑まれたメイドは受けてしまい……	失败的女仆和伊卡萨斯客人一起去了某个地方。那是伊卡萨斯客人的熟人经营的地下赌场。在伊卡萨斯客人所属的地下赌场被挑战胜负的女仆接受了……
お嬢様タイプのNTRルートが進行している。	正在进行大小姐类型的NTR路线。
恥辱のディーラー	羞辱的经销商
敗北の代償として、汚され弱みを握られたメイドは裏カジノのディーラーとして働く事になる。そのカジノでの景品とは、ディーラーであるメイド自身の身体であり……	作为败北的代价，被玷污了的弱点掌握了的女仆作为背面赌场的经销商工作。在赌场的奖品是经销商女仆自己的身体……
メイドフラグ:NTR徹弥＿幕間１	女仆标志：NTR彻弥幕间1
欲望の中で	在欲望中
当たらない景品のメイドに対して、徐々に客が離れていく。それに対して裏カジノの人間が宣言したのは、「スペシャル・ルーレット」という悪夢のようなモノで……	对于不中奖品的女仆，客人渐渐地离开了。与之相对，地下赌场的人宣布的是名为“特别轮盘赌”的噩梦般的东西……
策に溺れ	沉溺于策略
メイドの様子がおかしい事に気づいたご主人様は、メイドを助けるために救出のための勝負を挑む。準備をして、ご主人様は決して負けることはないはずの勝負だった。	主人发现女仆的样子很奇怪，为了救女仆而挑战救出女仆的胜负。做了准备，主人一定不会输的。
メイドフラグ:NTR徹弥＿幕間２	女仆标志：NTR彻弥幕间2
奪われるモノ	被夺走的东西
敗北の代償にあらゆる物を奪われ、裏カジノで働かされるご主人様。何も出来ず見ることしか出来ないご主人様の目の前で大切なメイドは醜悪な男に犯されることになり……	被败北的代价夺走了所有东西，在赌场工作的主人。在什么都做不了只能看的主人面前，重要的女仆被丑男侵犯了……
メイドフラグ:NTR徹弥＿幕間３	女仆标志：NTR彻弥幕间3
パーティー！！』再戦	派对！”再战
